,7d,9d,13d,16d,21d,7dB,9dB,14dB,16dB,21dB,7dC,14dC,21dC,0min,30min,60min,3h,5h,7h,9h
bPeltatine,316781,330768,663526,822713,683950,163707,346233,275795,219302,157552,175814,216225,108898,534780,626967,779535,727652,582833,481194,413437
bPeltatineG,172586,154069,123559,73780,180723,311233,253476,190443,231765,279126,316798,165226,222713,196534,397456,654981,521875,439756,403646,347209
dMPTOX,875814,986924,956491,659523,206122,847242,1111847,1352822,577188,179184,875814,1616225,659523,659523,1911734,2402753,2483731,2142839,2690592,1162061
dMPTOXG,945728,727716,605318,1779379,2076969,1198386,806598,541109,859841,1112309,966822,505318,1779379,1779379,1068524,1338761,929026,601266,776647,841922
IMPTOX,1205788,1323051,1203727,2271152,1761274,1156264,1342573,2744995,2859841,1548726,1205788,3271152,1203727,1136031,3293147,4084478,3341432,3604247,4288153,3105608
IMPTOXG,2013470,1746771,1455568,1136031,1258612,1923713,1823453,1683181,1520142,1837762,2013470,1455568,1836031,1694094,1023941,1279253,941638,982999,529611,882686
MPTOX,12822176,22641945,19648696,15320320,11469660,12247496.58,19350077,16679489,13797984,10280483.4,11956438,15320320,10538549,16960320,25670535,28152990,24975633,27341480,28297493,23381577
MPTOXG,6479094,4479094,3060005,10779964,17209153,6480281,4206598,2298696,5868422,14776490,4479094,4060005,20905353,2090535,3476800,4281441,2966908,2205784,4213711,2845207
PTOX,211511,189412,346087,354069,159270,152287,181236,354394,402560,130870,172586,223559,73780,189412,219652,333356,184375,582833,481194,413437
PTOXG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439756,403646,347209
